provincia,poblacion,total,nuevas,semana,anio
Esmeraldas,591083,200,4,35,2020
Galápagos,33042,1,0,35,2020
Guayas,4387434,1681,11,35,2020
Imbabura,476257,94,7,35,2020
Loja,521154,159,14,35,2020
Los Ríos,921763,323,2,35,2020
Manabí,1562079,882,16,35,2020
Morona Santiago,196535,19,1,35,2020
Napo,133705,62,6,35,2020
Orellana,161338,38,1,35,2020
Pastaza,114202,48,2,35,2020
Pichincha,3228233,920,36,35,2020
Santa Elena,401178,352,13,35,2020
Sto. Domingo Tsáchilas,511151,324,28,35,2020
Sucumbíos,230503,77,6,35,2020
Tungurahua,590600,217,29,35,2020
Zamora Chinchipe,120416,42,2,35,2020
